City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,278.3,88,68,14.25,TF,1715276926
1,hilo,19.7297,-155.09,298.31,91,100,1.54,US,1715276926
2,kingston,17.997,-76.7936,306.57,66,20,6.17,JM,1715276385
3,gadzhiyevo,69.2551,33.3362,269.97,80,93,3.15,RU,1715276927
4,feijo,-8.1642,-70.3536,305.55,54,100,0.82,BR,1715276927
5,qionghai,19.2425,110.4642,297.08,95,36,0.68,CN,1715276927
6,gemena,3.25,19.7667,298.76,77,100,0.87,CD,1715276927
7,bikin,46.8161,134.26,278.45,37,46,0.8,RU,1715276927
8,yellowknife,62.456,-114.3525,288.46,29,20,5.66,CA,1715276832
9,bethel,41.3712,-73.414,292.85,60,0,4.12,US,1715276785
10,piton saint-leu,-21.2196,55.3151,296.19,73,0,7.2,RE,1715276927
11,serhiyivka,46.0272,30.3768,286.59,61,79,3.2,UA,1715276928
12,invercargill,-46.4,168.35,282.6,95,94,6.26,NZ,1715276798
13,whakatane,-37.9585,176.9854,279.75,62,44,4.46,NZ,1715276928
14,inverurie,57.2845,-2.3774,292.14,81,75,3.6,GB,1715276928
15,margaret river,-33.95,115.0667,292.92,82,3,6.79,AU,1715276928
16,blackmans bay,-43.0167,147.3167,284.67,96,100,0.66,AU,1715276928
17,iqaluit,63.7506,-68.5145,272.0,68,75,2.06,CA,1715276928
18,klyuchi,52.2667,79.1667,291.74,50,100,6.96,RU,1715276928
19,hermanus,-34.4187,19.2345,288.08,77,0,5.13,ZA,1715276928
20,seven pagodas,12.6264,80.1722,304.31,79,19,4.3,IN,1715276928
21,cabo san lucas,22.8909,-109.9124,305.76,53,67,0.45,MX,1715276842
22,olonkinbyen,70.9221,-8.7187,270.63,79,80,8.61,SJ,1715276929
23,codrington,-38.2667,141.9667,284.59,83,100,1.61,AU,1715276929
24,nikolayevsk-on-amure,53.1406,140.73,276.6,96,100,1.79,RU,1715276929
25,adamstown,-25.066,-130.1015,294.64,78,59,2.9,PN,1715276698
26,georgetown,5.4112,100.3354,301.11,88,40,4.12,MY,1715276659
27,coquimbo,-29.9533,-71.3436,289.0,77,40,5.66,CL,1715276929
28,lihue,21.9789,-159.3672,294.73,89,75,2.06,US,1715276929
29,edinburgh of the seven seas,-37.0676,-12.3116,285.8,57,28,5.91,SH,1715276929
30,grytviken,-54.2811,-36.5092,272.56,73,57,1.17,GS,1715276929
31,saipan,15.1355,145.701,301.54,83,40,4.63,MP,1715276650
32,keflavik,64.0049,-22.5624,281.1,61,75,4.12,IS,1715276929
33,wailua homesteads,22.0669,-159.378,294.39,91,75,2.06,US,1715276930
34,albany,42.6001,-73.9662,289.71,60,94,0.89,US,1715276686
35,san julian,21.0167,-102.1667,304.86,10,2,3.62,MX,1715276930
36,puerto ayora,-0.7393,-90.3518,302.13,91,95,0.89,EC,1715276930
37,amurzet,47.6967,131.0981,281.47,33,91,1.31,RU,1715276930
38,cole harbour,44.6724,-63.4751,280.27,96,100,6.69,CA,1715276930
39,richards bay,-28.783,32.0377,296.04,73,0,4.94,ZA,1715276930
40,sharanga,57.1775,46.5396,272.19,84,97,6.02,RU,1715276930
41,utrik,11.2278,169.8474,300.12,76,95,8.4,MH,1715276930
42,bikenibeu village,1.3673,173.1241,299.13,100,100,3.09,KI,1715276931
43,waitangi,-43.9535,-176.5597,282.49,92,98,1.34,NZ,1715276931
44,kramators'k,48.723,37.5563,280.31,47,61,2.73,UA,1715276931
45,enewetak,11.3474,162.3373,300.53,72,87,8.95,MH,1715276931
46,hawaiian paradise park,19.5933,-154.9731,295.39,96,100,1.54,US,1715276931
47,limassol,34.675,33.0333,294.19,78,0,1.54,CY,1715276762
48,kunashak,55.7032,61.5498,276.21,60,19,2.57,RU,1715276931
49,paradip garh,20.3167,86.6167,300.41,69,58,2.87,IN,1715276931
50,ilulissat,69.2167,-51.1,271.16,69,75,1.54,GL,1715276931
51,tura,25.5198,90.2201,293.74,90,81,1.69,IN,1715276931
52,chonchi,-42.6128,-73.8092,285.44,75,38,3.59,CL,1715276932
53,nelson bay,-32.7167,152.15,289.26,64,69,1.97,AU,1715276932
54,aigues-mortes,43.5698,4.1871,295.73,52,0,4.12,FR,1715276932
55,tsiombe,-25.3,45.4833,295.21,80,0,3.36,MG,1715276932
56,loreto,22.2667,-101.9667,303.76,10,8,1.92,MX,1715276932
57,port mathurin,-19.6833,63.4167,298.74,75,100,10.96,MU,1715276932
58,salem,11.65,78.1667,300.44,80,92,1.56,IN,1715276932
59,ust-nera,64.5667,143.2,274.24,92,100,2.09,RU,1715276932
60,akrehamn,59.2667,5.1833,283.38,93,75,3.6,NO,1715276932
61,port saint john's,-31.6229,29.5448,294.75,81,7,1.25,ZA,1715276932
62,karratha,-20.7377,116.8463,296.45,50,7,3.61,AU,1715276933
63,likasi,-10.9814,26.7333,290.26,69,48,1.26,CD,1715276933
64,lagoa,39.05,-27.9833,289.86,81,58,6.38,PT,1715276933
65,ruiz,21.95,-105.15,309.67,21,3,2.71,MX,1715276933
66,polyarnyy,69.1989,33.4478,269.76,80,86,2.99,RU,1715276933
67,donghai,22.9459,115.642,295.12,77,99,2.25,CN,1715276933
68,iskateley,67.6803,53.1512,271.49,95,100,11.62,RU,1715276933
69,letterkenny,54.95,-7.7333,288.09,76,100,0.81,IE,1715276933
70,zaragoza,41.6561,-0.8773,301.37,16,0,2.57,ES,1715276811
71,martuk,50.7475,56.5056,278.47,72,56,6.73,KZ,1715276933
72,isafjordur,66.0755,-23.124,281.17,49,75,4.12,IS,1715276933
73,klaksvik,62.2266,-6.589,280.66,69,49,7.8,FO,1715276934
74,pacific grove,36.6177,-121.9166,297.9,63,0,2.57,US,1715276785
75,sassnitz,54.5167,13.65,283.95,84,87,4.43,DE,1715276934
76,avarua,-21.2078,-159.775,300.18,83,75,6.69,CK,1715276934
77,aswan,24.0934,32.907,307.76,7,0,2.06,EG,1715276934
78,kavaratti,10.5669,72.642,303.36,69,100,4.85,IN,1715276934
79,moree,-29.4667,149.85,289.75,71,100,3.74,AU,1715276934
80,guarapari,-20.6667,-40.4975,301.42,71,3,5.37,BR,1715276934
81,yuzhno-kurilsk,44.0306,145.8556,276.14,95,100,2.76,RU,1715276934
82,chegdomyn,51.1167,133.0167,273.38,60,11,1.11,RU,1715276934
